round,accuracy,macro_f1,weighted_f1,fpr
1,0.993455,0.693801,0,0
2,0.993283,0.630225,0,0
3,0.992857,0.564977,0,0
4,0.992652,0.503052,0,0
5,0.992876,0.514243,0,0
6,0.992364,0.509089,0,0
7,0.992452,0.502034,0,0
8,0.990833,0.499648,0,0
9,0.990938,0.500607,0,0
10,0.991514,0.477577,0,0
11,0.987545,0.496012,0,0
12,0.99024,0.495018,0,0
13,0.985333,0.497088,0,0
14,0.9906,0.530461,0,0
15,0.990083,0.528701,0,0
16,0.979012,0.491779,0,0
17,0.991886,0.49527,0,0
18,0.99054,0.499915,0,0
19,0.989109,0.495996,0,0
20,0.947535,0.463322,0,0
21,0.984921,0.499021,0,0
22,0.991045,0.495598,0,0
23,0.96739,0.482574,0,0
24,0.991931,0.497006,0,0
25,0.988533,0.493712,0,0
26,0.990088,0.49229,0,0
27,0.991762,0.530244,0,0
28,0.971047,0.486147,0,0
29,0.99095,0.49398,0,0
30,0.984816,0.497831,0,0
